number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
67,0.772468972925496,2026-06-16 11:14:11.040558,2026-06-16 11:14:14.408663,0 days 00:00:03.368105,0.5206284337639727,0.933596923585913,0.011897120316473695,10,3,693,1.0957820204269024e-06,0.00037875233018437696,0.6579391550887894,COMPLETE
68,0.7726993213818262,2026-06-16 11:14:14.411467,2026-06-16 11:14:19.429594,0 days 00:00:05.018127,0.5199401736535546,0.24214213004321344,0.01269680595570678,11,2,817,1.225425311847996e-07,0.00033489972883482137,0.6621681489209149,COMPLETE
69,0.77521660037923,2026-06-16 11:14:19.432549,2026-06-16 11:14:25.981993,0 days 00:00:06.549444,0.5170663686467846,0.2380435403304655,0.007499009077471245,11,3,855,1.2030051654922781e-06,0.0003585562807345785,0.7069175768992025,COMPLETE
70,0.7741206315238219,2026-06-16 11:14:25.985024,2026-06-16 11:14:32.354351,0 days 00:00:06.369327,0.5411279342745099,0.23451850120019008,0.008075841498176476,11,3,861,1.5512820596840495e-07,0.00031975840552863336,0.7227273766448113,COMPLETE
71,0.7747477426135362,2026-06-16 11:14:32.357061,2026-06-16 11:14:38.340525,0 days 00:00:05.983464,0.5052178118934175,0.3403886824449257,0.007575893412639908,11,3,862,1.7249815694323971e-07,0.00041020851497624834,0.7166157625966977,COMPLETE
72,0.7729011325358646,2026-06-16 11:14:38.343386,2026-06-16 11:14:44.781705,0 days 00:00:06.438319,0.5396987293613976,0.2661631019856914,0.007770493083166064,11,3,852,1.0844188561892218e-07,7.529686089425476e-05,0.7197938376286077,COMPLETE
73,0.7751337658551811,2026-06-16 11:14:44.784504,2026-06-16 11:14:51.385544,0 days 00:00:06.601040,0.5023024457768004,0.2469783882329116,0.00744797974149479,11,3,876,9.842064974681958e-08,6.494641388632075e-05,0.7216944306460465,COMPLETE
74,0.7751161081843134,2026-06-16 11:14:51.388812,2026-06-16 11:14:58.166727,0 days 00:00:06.777915,0.5013988095165645,0.23101889460191424,0.007075488834659406,11,3,869,1.5038060261911842e-07,5.954775023809669e-05,0.7269055982551489,COMPLETE
75,0.7738390539250904,2026-06-16 11:14:58.169623,2026-06-16 11:15:05.236178,0 days 00:00:07.066555,0.5017509261502087,0.5359171413318331,0.005262926073639892,12,3,910,1.7720267479642245e-07,5.074983276209564e-05,0.7471593958196163,COMPLETE
76,0.7734291198943927,2026-06-16 11:15:05.239027,2026-06-16 11:15:12.497883,0 days 00:00:07.258856,0.5018698336052735,0.514817573926851,0.005097942667625223,12,3,935,1.8192381612004694e-07,0.0002101255949077209,0.7495393714955179,COMPLETE
