Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL204922,,256.26,0.0,2.97,Cc1c(O)ccc2c1oc(=O)c1c(C)c(O)ccc12,IC50,'=',159.0,nM,6.8,26.53,0.49,3.83,9.62,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,159.0
CHEMBL202896,,284.31,0.0,3.53,CCc1cc(OC)cc2c(=O)oc3c(C)c(O)ccc3c12,IC50,'=',9830.0,nM,5.01,17.61,0.33,1.48,8.39,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,9830.0
CHEMBL194774,,438.53,1.0,6.06,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)N(C)C)cc2)c1-c1ccccc1,Ki,'=',10.0,nM,8.0,18.24,0.33,1.94,12.77,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145207,1,Scientific Literature,J Med Chem,2005.0,,,,,-8.0
CHEMBL193865,,478.59,1.0,6.99,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)N3CCCCC3)cc2)c1-c1ccccc1,Ki,'=',25.12,nM,7.6,15.88,0.29,0.61,12.13,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145207,1,Scientific Literature,J Med Chem,2005.0,,,,,-7.6
CHEMBL370849,,458.58,1.0,5.94,Oc1ccc2c(c1)sc1c3cc(O)ccc3n(Cc3ccc(OCCN4CCCC4)cc3)c21,IC50,'=',6.0,nM,8.22,17.93,0.34,2.28,14.21,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139599,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,6.0
CHEMBL2137046,,387.52,1.0,5.7,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,Ki,'=',5.7,nM,8.24,21.27,0.39,2.54,25.21,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141087,1,Scientific Literature,J Med Chem,2005.0,,,,,5.7
CHEMBL241301,,398.51,1.0,5.22,CC(CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2ccccc12,IC50,'=',1.0,nM,9.0,22.58,0.41,3.78,13.82,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139144,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,1.0
CHEMBL241485,,511.67,2.0,5.7,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2cc(OCCN3CCCC3)ccc12,IC50,'=',22.0,nM,7.66,14.97,0.28,1.96,9.87,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139144,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,22.0
CHEMBL390020,,455.55,1.0,6.58,Oc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,Ki,'=',0.21,nM,9.68,21.24,0.39,3.1,15.57,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145362,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,0.21
CHEMBL243999,,464.57,1.0,6.74,N#Cc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,Ki,'=',0.24,nM,9.62,20.71,0.38,2.88,14.64,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145362,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,0.24
CHEMBL243789,,517.65,2.0,6.27,CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,Ki,'=',0.47,nM,9.33,18.02,0.34,3.06,12.26,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145362,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,0.47
CHEMBL439806,,310.4,0.0,4.98,Oc1ccc2c(c1)CC1(C2)C(c2ccccc2)=Cc2ccccc21,IC50,'=',58.0,nM,7.24,23.31,0.41,2.26,35.77,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136557,1,Scientific Literature,Bioorg Med Chem Lett,2003.0,,,,,58.0
CHEMBL174502,,456.63,1.0,5.89,Cc1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',27.99,nM,7.55,16.54,0.3,1.66,21.02,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141983,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,1553
CHEMBL190038,,300.33,0.0,3.23,CSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)cc(O)c21,IC50,'=',2.0,nM,8.7,28.96,0.57,5.47,11.19,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139570,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,2.0
CHEMBL202615,,442.56,1.0,6.38,CN(C)CCOc1ccc(/C(=C(/CCCN=[N+]=[N-])c2ccccc2)c2ccc(O)cc2)cc1,IC50,'=',13.0,nM,7.89,17.82,0.33,1.51,9.68,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149464,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,13
